,Prostatic Neoplasms,Stomach Neoplasms,Urinary Bladder Neoplasms,Breast Neoplasms,Thyroid Neoplasms,Pancreatic Neoplasms,Ovarian Neoplasms,Astrocytoma,"Carcinoma, Pancreatic Ductal","Carcinoma, Non-Small-Cell Lung",Uterine Cervical Neoplasms,"Carcinoma, Hepatocellular","Pleural Effusion, Malignant",Colorectal Neoplasms,Multiple Myeloma,Neurodegenerative Diseases,Glioma,"Carcinoma, Renal Cell",Testicular Germ Cell Tumor,Lymphoma,Myeloproliferative Disorders,"Leukemia, Lymphocytic, Chronic, B-Cell",Seizures,Esophageal Neoplasms,Beckwith-Wiedemann Syndrome,DiGeorge Syndrome,Huntington Disease,Glioblastoma,"Multiple Sclerosis, Relapsing-Remitting",Osteosarcoma,Esophageal Squamous Cell Carcinoma,Hepatoblastoma,Ovarian epithelial cancer,Pheochromocytoma,"Carcinoma, Squamous Cell",Lung Neoplasms,Pituitary Neoplasms,"Carcinoma, Islet Cell",Neuroblastoma,Colonic Neoplasms,Gallbladder Neoplasms,Meningioma,"Thyroid cancer, papillary","Leukemia, Myelogenous, Chronic, BCR-ABL Positive","Leukemia, Myeloid, Acute",Leukemia,Endometrial Neoplasms,"Leukemia, T-Cell",Pseudohypoaldosteronism,Diabetes Mellitus,Medulloblastoma,Hyperprolactinemia,Neoplasms,Choriocarcinoma,Laryngeal Neoplasms,"Neoplasms, Germ Cell and Embryonal",Coronary Artery Disease,Liver Neoplasms,Trophoblastic Neoplasms,"Arthritis, Rheumatoid",Nasopharyngeal Neoplasms,"Leukemia, Promyelocytic, Acute",Burkitt Lymphoma,Peripheral Nervous System Diseases,Alzheimer Disease,Prader-Willi Syndrome,Autistic Disorder,Melanoma,"Carcinoma, Basal Cell",Testicular Neoplasms,"Neoplasms, Squamous Cell",Schizophrenia,Myocardial Infarction,Acquired Immunodeficiency Syndrome,Psoriasis,"Diabetes Mellitus, Type 2",Obesity,Fibroma,Triple Negative Breast Neoplasms,Kidney Neoplasms,Fibrosarcoma,"Sarcoma, Endometrial Stromal","Aging, Premature",Fragile X Syndrome,Silver-Russell Syndrome,"Intracranial Hemorrhage, Hypertensive","Stroke, Lacunar",Glaucoma,Intracranial Aneurysm,Cardiovascular Diseases,Carotid Stenosis,Atherosclerosis,Endometriosis,"Neurofibroma, Plexiform",Neurofibromatoses,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Ependymoma,Small Cell Lung Carcinoma,"Carcinoma, squamous cell of head and neck","Lymphoma, B-Cell",Gastrointestinal Stromal Tumors,Parkinson Disease,Dermatomyositis,Leishmaniasis,Polymyositis,Periodontitis,"Aortic Aneurysm, Abdominal",Aortic Aneurysm,Coronary Disease,Stroke,Nervous System Neoplasms,Peripheral Arterial Disease,Bone Diseases,Down Syndrome,"Telangiectasia, Hereditary Hemorrhagic",Autoimmune Diseases,"Lupus Erythematosus, Systemic",Adrenocortical Carcinoma,Hydatidiform Mole,Congenital Hyperinsulinism,Gestational Trophoblastic Disease,Hyperhomocysteinemia,Infertility,Marek Disease,Mullerian aplasia,Polycythemia Vera,Neural Tube Defects,Pre-Eclampsia,Wilms Tumor,Gastrointestinal Neoplasms,Uterine Neoplasms,Substance-Related Disorders,Myelodysplastic Syndromes,Amyotrophic Lateral Sclerosis,Frontotemporal Lobar Degeneration,"Intrauterine Growth Retardation, Metaphyseal Dysplasia, Adrenal Hypoplasia Congenita, And Genital Anomalies",Cleft Lip,Diabetic Nephropathies,Hodgkin Disease,Plasmacytoma,Angelman Syndrome,Klinefelter Syndrome,"Carcinoma, Ductal","Osteoporosis, Postmenopausal","Glomerulonephritis, Membranous",Diabetic Cardiomyopathies,Vulvar Neoplasms,Kidney Diseases,"Purpura, Thrombocytopenic",Liver Diseases,"Renal Insufficiency, Chronic","Colitis, Ulcerative","Digestive System Neoplasms, Gastrointestinal Neoplasms",Uveal melanoma,Hemangioma,Pneumoconiosis,Retinal Degeneration,"Leukemia, B-Cell",Asthma,Hypertension,"Hypertension, Pulmonary",Heart Failure,"Lymphoma, Large B-Cell, Diffuse",Temporomandibular Joint Disorders,"Vitreoretinopathy, Proliferative",Diabetic Retinopathy,Retinoblastoma,"Heart Defects, Congenital",Multiple Sclerosis,"Cardiomyopathy, Dilated",Metabolic Syndrome X,Cardiomegaly,Asthenozoospermia,Liver Cirrhosis,Intervertebral Disc Degeneration,Head and Neck Neoplasms,"Anemia, Aplastic",Hematologic Neoplasms,"Carcinoma, Embryonal",Exfoliation Syndrome,Congenital Microtia,HIV Infections,Osteoarthritis,Hirschsprung Disease,Hyperglycemia,Brain Neoplasms,Mesothelioma,Primary Myelofibrosis,"Lymphoma, Mantle-Cell","Glaucoma, Open-Angle"
hsa-mir-200b,1.7201034,2.0493049,1.5049833,2.1066894,1.2061466,1.5476367,1.7046916,1.4978682,0.1046295,1.780916,1.3722211,2.278886,0.1525685,2.050024,1.1019857,1.9854104,1.5471246,1.7265153,0.1902135,1.456304,1.6383406,1.2907274,0.2243579,1.6124492,0.2282114,0.2282114,1.4916352,1.9451687,0.2548328,1.2840051,0.261129,1.9520801,0.2652956,2.6552352,1.7747563,2.1197863,0.4990285,0.2948572,1.448566,1.6919877,0.3174969,2.1875749,0.3201703,2.0041102,1.6967644,1.3787151,1.4135856,0.3576849,0.3576849,2.0203342,1.7424134,0.372221,2.0790533,2.0922662,1.7493972,0.5485416,1.4765435,1.5925519,0.4046878,1.530705,1.2849117,1.0850541,0.6710478,0.4088508,1.6394233,0.416047,1.6909325,2.198665,1.0870065,1.9731132,1.6337724,1.6331698,1.7808126,0.9862772,1.6645718,1.9211044,1.8438682,0.4762183,0.4762183,1.9292407,0.6379441,0.4796908,2.692699,3.0695756,0.4856639,0.4856639,0.4856639,0.4856639,3.2456351,2.6264484,0.538605,1.4829787,1.7670757,0.5428534,0.5428534,1.4034997,2.3081198,3.3065022,0.5484918,1.3740571,0.5509504,1.8558314,0.5639642,0.5639642,0.5639642,1.9786657,0.5659249,0.5659249,0.5659249,2.0991259,0.5679019,0.5679019,0.5679019,3.3536292,0.5845686,3.3440226,1.3069491,1.9931829,0.5920998,0.5920998,0.5920998,0.5920998,0.5920998,1.8939291,0.5935704,2.0713659,0.595041,1.8226024,0.596725,1.7247989,0.5986118,0.5986118,1.4018383,3.2761145,0.6030578,0.6030578,0.6030578,1.824545,1.2847079,0.6091184,0.6091184,0.6091184,0.6091184,0.6091184,0.6091184,0.6091184,0.6091184,1.8526727,0.6121487,2.1950001,0.614232,1.6534872,0.6157026,0.6157026,3.2910905,0.6173975,2.1666253,0.9351346,2.1883684,2.1254286,0.6246183,2.5139672,2.0119071,0.6284289,0.6284289,3.3864556,1.5604526,2.5856498,2.1289199,1.9995278,0.6409742,1.8783646,0.7042318,1.695307,0.7065013,2.2150876,0.7095316,0.9414517,3.4446388,0.7110022,0.7110022,1.9470758,2.2419812,0.735059,3.4239271,2.6072189,1.7528066,0.741671,1.0056293,0.741671
hsa-mir-200a,1.505439,1.8125959,1.2971022,1.8662292,1.0643228,1.3577817,1.4943157,1.3000797,0.1046295,1.582637,1.1879848,2.0355656,0.1525685,1.8349951,0.9121243,1.7671791,1.3412089,1.5353056,0.185086,1.258663,1.4275443,1.0625025,0.2053668,1.4173524,0.2092203,0.2092203,1.3007621,1.7063544,0.2358417,1.0639083,0.2358417,1.7132751,0.2400084,2.3557872,1.5381734,1.8640649,0.4588292,0.26957,1.2132722,1.4624962,0.2848921,1.9340749,0.2875654,1.7623328,1.4625469,1.1543608,1.2475414,0.321463,0.321463,1.7804144,1.5191022,0.3359991,1.8179412,1.8472992,1.517382,0.4958568,1.2743562,1.3894493,0.3684659,1.2829685,1.1035994,0.9057821,0.5700164,0.3684659,1.3713692,0.3684659,1.4577417,1.9360343,0.9054137,1.7374278,1.4097636,1.3579101,1.5235807,0.8048083,1.4362363,1.6478904,1.5486798,0.3916065,0.3916065,1.6585341,0.535182,0.395079,2.3593893,2.7082525,0.4010521,0.4010521,0.4010521,0.4010521,2.877463,2.2910841,0.4539933,1.2308544,1.5350789,0.4557089,0.4557089,1.134632,2.0107716,2.9338367,0.4593866,1.1154578,0.4593866,1.5874122,0.4724004,0.4724004,0.4724004,1.676064,0.4724004,0.4724004,0.4724004,1.8134225,0.4743773,0.4743773,0.4743773,2.9766802,0.491044,2.966872,1.0862788,1.7162851,0.4985752,0.4985752,0.4985752,0.4985752,0.4985752,1.6050937,0.5000458,1.7836861,0.5015164,1.5179413,0.5015164,1.4944715,0.5034032,0.5034032,1.1447099,2.8967337,0.5057658,0.5057658,0.5057658,1.5691599,1.044117,0.5087961,0.5087961,0.5087961,0.5087961,0.5087961,0.5087961,0.5087961,0.5087961,1.58121,0.5118264,1.873834,0.5139097,1.3989319,0.5153803,0.5153803,2.9248452,0.5170752,1.8710363,0.7648211,1.8902972,1.8285994,0.524296,2.1984504,1.7330752,0.5281066,0.5281066,3.0025091,1.2758456,2.2496914,1.8195025,1.7245849,0.5385685,1.6250667,0.6018261,1.4330469,0.6040956,1.9061967,0.6071259,0.7860837,3.0597798,0.6085965,0.6085965,1.657867,1.9301995,0.6326533,3.0385974,2.2750837,1.4669755,0.636235,0.8403802,0.636235
hsa-mir-429,1.4904801,1.7864635,1.2823611,1.8415701,1.0367891,1.3259514,1.4733286,1.2164758,0.0533977,1.5010518,1.1151223,1.9568118,0.1013367,1.7556985,0.844381,1.6883578,1.2741272,1.4736815,0.1338542,1.1859094,1.3492485,0.9914823,0.1541349,1.3388704,0.1579885,0.1579885,1.221453,1.6334731,0.1846099,0.9930385,0.1846099,1.6309311,0.1887765,2.2939822,1.46135,1.7824067,0.4028858,0.2183381,1.1431115,1.3906957,0.2336602,1.8559709,0.2363336,1.6854509,1.3837112,1.0821797,1.1786354,0.2702312,0.2702312,1.7023608,1.4457952,0.2847673,1.7416237,1.7633263,1.4388757,0.4499701,1.1911327,1.3099068,0.3155184,1.209582,1.0342521,0.8422587,0.5142348,0.3155184,1.2974265,0.3155184,1.3870012,1.8566079,0.8784734,1.6634832,1.3386531,1.288704,1.4313144,0.7410369,1.3545207,1.5552225,1.4800959,0.3486474,0.3486474,1.589303,0.497333,0.3521198,2.2880945,2.6532126,0.3580929,0.3580929,0.3580929,0.3580929,2.8229388,2.2180613,0.4110341,1.1657903,1.4751692,0.4127498,0.4127498,1.0783691,1.9478757,2.8793125,0.4164274,1.0574785,0.4164274,1.5212987,0.4294412,0.4294412,0.4294412,1.6244591,0.431402,0.431402,0.431402,1.7409827,0.433379,0.433379,0.433379,2.9241339,0.4500456,2.9143014,1.0352337,1.654782,0.4575768,0.4575768,0.4575768,0.4575768,0.4575768,1.5281727,0.4575768,1.7123478,0.4590474,1.4554527,0.4590474,1.4268619,0.4609342,0.4609342,1.0891774,2.8424792,0.4632968,0.4632968,0.4632968,1.50239,0.9917813,0.4663271,0.4663271,0.4663271,0.4663271,0.4663271,0.4663271,0.4663271,0.4663271,1.5125582,0.4693574,1.7991171,0.4714407,1.334583,0.4729113,0.4729113,2.8583516,0.4746062,1.8019499,0.7176686,1.8243887,1.7525604,0.481827,2.1284855,1.6589064,0.4856376,0.4856376,2.948467,1.2181495,2.1806194,1.7495467,1.6527292,0.4960996,1.5546536,0.5593571,1.3676793,0.5616267,1.8405798,0.564657,0.7410957,3.0056865,0.5661276,0.5661276,1.5886276,1.8633901,0.5901844,2.9844132,2.205865,1.4076784,0.5937661,0.7956244,0.5937661
hsa-mir-34a,1.7582373,2.0903521,1.547898,2.1460284,1.2329153,1.5858984,1.7468872,1.5350067,0.1046295,1.8193091,1.4180833,2.3187236,0.1525685,2.086996,1.1487038,2.0223014,1.5857058,1.7614344,0.1902135,1.4990432,1.6798837,1.3396856,0.2243579,1.6481207,0.2282114,0.2282114,1.5270322,1.9884362,0.2548328,1.3339983,0.261129,1.9956824,0.2652956,2.6964786,1.8192406,2.1591514,0.4987387,0.2948572,1.4932609,1.7350527,0.3174969,2.225608,0.3201703,2.0427085,1.7461087,1.4255907,1.4367345,0.3576849,0.3576849,2.0593888,1.7876024,0.372221,2.1209456,2.1357632,1.7900781,0.5486541,1.5183467,1.627363,0.4046878,1.57638,1.3193205,1.1449551,0.736275,0.4290213,1.7050518,0.4362174,1.7585086,2.2616367,1.1396291,2.0266998,1.6938525,1.6972315,1.8426891,1.0484732,1.7192258,1.9778977,1.9064323,0.4963888,0.4963888,1.9913853,0.6584592,0.4998612,2.7551118,3.1302685,0.5058343,0.5058343,0.5058343,0.5058343,3.3056674,2.6895228,0.5587755,1.5424414,1.8161974,0.5630239,0.5630239,1.4710525,2.3680504,3.3665346,0.5686623,1.4436078,0.5711208,1.91569,0.5841346,0.5841346,0.5841346,2.0392507,0.5860954,0.5860954,0.5860954,2.1589702,0.5880724,0.5880724,0.5880724,3.413639,0.604739,3.4040612,1.3682693,2.0537264,0.6122702,0.6122702,0.6122702,0.6122702,0.6122702,1.9530686,0.6137408,2.129843,0.6152114,1.8843448,0.6168955,1.7729738,0.6187823,0.6187823,1.4684874,3.3364132,0.6232282,0.6232282,0.6232282,1.8790954,1.3505326,0.6292888,0.6292888,0.6292888,0.6292888,0.6292888,0.6292888,0.6292888,0.6292888,1.9106611,0.6323191,2.254938,0.6344025,1.7176974,0.6358731,0.6358731,3.3515081,0.637568,2.2263805,1.0092682,2.2524157,2.1925502,0.6500519,2.5766275,2.0733596,0.6538625,0.6538625,3.4517592,1.6313614,2.6491552,2.1946159,2.0637829,0.6664078,1.9349427,0.7296654,1.754307,0.7319349,2.2883013,0.7349652,1.0143333,3.5130411,0.7394661,0.7394661,2.0182816,2.3139718,0.7635229,3.492432,2.6757382,1.824502,0.7701349,1.0701508,0.7701349
hsa-mir-378f,0.6749784,0.7632639,0.5756978,0.8018849,0.3756017,0.5098493,0.5803832,0.4395206,0.0136001,0.5773916,0.3976958,0.8454737,0.0136001,0.6972797,0.2883989,0.6222323,0.4812077,0.6370796,0.018704,0.4169945,0.4434626,0.3456101,0.018704,0.462089,0.018704,0.018704,0.3830798,0.6197861,0.018704,0.3275894,0.018704,0.5491262,0.018704,1.0577975,0.5070965,0.6571958,0.0867506,0.0204809,0.3840206,0.4581599,0.0204809,0.6620522,0.0204809,0.5829593,0.4518617,0.3413471,0.3571592,0.0204809,0.0204809,0.5483813,0.4707014,0.0204809,0.5902457,0.5715059,0.4419743,0.1004639,0.3337322,0.36473,0.0204809,0.3519473,0.2853347,0.2161364,0.0964283,0.0204809,0.3885026,0.0204809,0.4302464,0.6373913,0.3458119,0.5316808,0.4031455,0.3907264,0.4296757,0.1710139,0.3820072,0.4580716,0.4278532,0.0232438,0.0232438,0.4771291,0.1067197,0.0232438,0.8725387,1.2522827,0.0262757,0.0262757,0.0262757,0.0262757,1.4090912,0.7813898,0.0282365,0.3013892,0.4425533,0.0282365,0.0282365,0.2818367,0.6385769,1.4108821,0.0300274,0.2678056,0.0300274,0.4262407,0.0300274,0.0300274,0.0300274,0.4917886,0.0300274,0.0300274,0.0300274,0.5003764,0.0300274,0.0300274,0.0300274,1.4374065,0.0466941,1.425855,0.2560116,0.5031309,0.0497244,0.0497244,0.0497244,0.0497244,0.0497244,0.4351314,0.0497244,0.5157021,0.0497244,0.422823,0.0497244,0.3919224,0.0497244,0.0497244,0.2868645,1.3500121,0.052087,0.052087,0.052087,0.4166464,0.2492599,0.052087,0.052087,0.052087,0.052087,0.052087,0.052087,0.052087,0.052087,0.4143541,0.052087,0.5379988,0.052087,0.3500482,0.052087,0.052087,1.3179109,0.052087,0.5347957,0.1431229,0.543712,0.5137816,0.052087,0.7357297,0.4607374,0.052087,0.052087,1.435532,0.3277184,0.7370573,0.513716,0.4561799,0.0544496,0.4093349,0.0544496,0.338117,0.0544496,0.5514971,0.0544496,0.1226273,1.4131769,0.0559202,0.0559202,0.4139078,0.5129366,0.0559202,1.3600627,0.6980326,0.3495688,0.0576151,0.1399651,0.0576151
hsa-mir-30e,0.7981542,1.0067841,0.6504471,1.0506798,0.4950756,0.6798555,0.8286475,0.6317536,0.0107302,0.8047665,0.5841459,1.0965627,0.0274608,0.9391932,0.4255335,0.8743068,0.7196615,0.7581194,0.0420443,0.5866172,0.6509762,0.5088077,0.0420443,0.641078,0.0420443,0.0420443,0.5617403,0.8380349,0.0420443,0.4685714,0.0420443,0.786464,0.0420443,1.3119752,0.7139126,0.9557144,0.1617506,0.0654344,0.590444,0.6804656,0.0654344,0.9406205,0.0654344,0.844379,0.6617348,0.5147324,0.5204924,0.0654344,0.0654344,0.7893791,0.6968393,0.0654344,0.8929019,0.8325155,0.6551768,0.1818146,0.5235167,0.5656898,0.0746903,0.559541,0.44651,0.3484379,0.1840241,0.0746903,0.6147686,0.0746903,0.6510683,0.9598999,0.3723322,0.7917574,0.6028906,0.6533567,0.664037,0.3089483,0.5764877,0.7151111,0.7034687,0.098783,0.098783,0.7407116,0.2068289,0.098783,1.2489208,1.5518238,0.1047561,0.1047561,0.1047561,0.1047561,1.7110955,1.1945692,0.1576972,0.5395168,0.702982,0.1576972,0.1576972,0.5108653,1.0408505,1.7657536,0.1613749,0.5330737,0.1638334,0.7211827,0.1638334,0.1638334,0.1638334,0.8157583,0.1638334,0.1638334,0.1638334,0.8317756,0.1638334,0.1638334,0.1638334,1.7975589,0.1805001,1.7870802,0.4752231,0.812544,0.1835304,0.1835304,0.1835304,0.1835304,0.1835304,0.7258974,0.1835304,0.8246949,0.1835304,0.730617,0.1835304,0.6604548,0.1835304,0.1835304,0.5113275,1.7081476,0.185893,0.185893,0.185893,0.6972757,0.4758361,0.185893,0.185893,0.185893,0.185893,0.185893,0.185893,0.185893,0.185893,0.7102258,0.185893,0.8776312,0.185893,0.6023743,0.185893,0.185893,1.7378199,0.1875879,0.8678214,0.3190851,0.8791002,0.8351487,0.1875879,1.1409332,0.7667699,0.1895117,0.1895117,1.7965023,0.5857683,1.1566383,0.8457558,0.7631475,0.1933449,0.6743967,0.1933449,0.5951958,0.1933449,0.8753109,0.1933449,0.2930748,1.7754063,0.1948155,0.1948155,0.7065222,0.8403072,0.1948155,1.7248166,1.0772891,0.6532838,0.1995407,0.3212927,0.1995407
hsa-mir-30c,1.5871878,1.9073119,1.3651872,1.9661499,1.0967939,1.4185659,1.5753139,1.3731579,0.1046295,1.6458701,1.2499975,2.1350795,0.1525685,1.9138567,0.9828878,1.8522473,1.4273184,1.6080519,0.1902135,1.3294454,1.5033712,1.1408215,0.2104942,1.4703923,0.2143478,0.2143478,1.3510624,1.7947904,0.2409692,1.1255657,0.2409692,1.7920504,0.2451358,2.4837872,1.6207719,1.9551666,0.472611,0.2746974,1.3096269,1.5474407,0.2973371,2.0290733,0.3000104,1.8532632,1.5353217,1.2214188,1.2980547,0.3339081,0.3339081,1.8626814,1.5984938,0.3484442,1.9177051,1.9280776,1.5924068,0.5256476,1.3232141,1.4472514,0.3791953,1.3807074,1.1560593,0.9556842,0.6039246,0.380874,1.4819212,0.3880702,1.5481597,2.0358177,0.9881546,1.8268962,1.4844144,1.4857819,1.6185666,0.8933663,1.5151877,1.7628202,1.6846318,0.4482415,0.4482415,1.7747626,0.6075769,0.451714,2.5142169,2.8894465,0.457687,0.457687,0.457687,0.457687,3.0633046,2.4457938,0.5106282,1.3266411,1.6309377,0.5123439,0.5123439,1.244349,2.1492364,3.1196784,0.5160216,1.2231939,0.5160216,1.6998282,0.5290353,0.5290353,0.5290353,1.8230811,0.5309961,0.5309961,0.5309961,1.93485,0.5329731,0.5329731,0.5329731,3.1644223,0.5496397,3.1547014,1.1711536,1.8392479,0.5541406,0.5541406,0.5541406,0.5541406,0.5541406,1.7178028,0.5556112,1.8973915,0.5570818,1.6618968,0.5587659,1.585696,0.5606527,0.5606527,1.2452206,3.0806708,0.5630153,0.5630153,0.5630153,1.6730096,1.1493887,0.5660456,0.5660456,0.5660456,0.5660456,0.5660456,0.5660456,0.5660456,0.5660456,1.6909457,0.5690759,2.0096842,0.5711593,1.4861785,0.5711593,0.5711593,3.0959907,0.5728542,1.9923119,0.8436662,2.0161358,1.9454226,0.5800749,2.3373785,1.8374703,0.5838855,0.5838855,3.1875217,1.402611,2.4029123,1.9494485,1.8278963,0.5964308,1.7159041,0.6596884,1.5250204,0.6596884,2.0356138,0.6627187,0.8592364,3.2447872,0.6641893,0.6641893,1.7667938,2.0577788,0.6882461,3.2220469,2.4186479,1.6009268,0.6948581,0.9258746,0.6948581
hsa-mir-761,0.481455,0.6406452,0.3772701,0.6814368,0.2666385,0.3886641,0.4601907,0.3165885,0,0.4448178,0.2876868,0.7259391,0,0.5655384,0.1962513,0.4787433,0.3679119,0.4348656,0,0.2862306,0.309708,0.2349351,0,0.3379878,0,0,0.2572911,0.4813812,0,0.2171907,0,0.4010373,0,0.863478,0.3736602,0.5238063,0.0541584,0,0.2754369,0.3335229,0,0.503316,0,0.4379184,0.3303324,0.2285109,0.2455686,0,0,0.3936123,0.3560553,0,0.447273,0.4152339,0.3005433,0.0840861,0.225054,0.2477358,0,0.2376918,0.1893501,0.1287657,0.0474273,0,0.2684466,0,0.3028725,0.499581,0.1822068,0.3997719,0.2766474,0.2752137,0.3032181,0.1046214,0.250704,0.3228453,0.2922831,0,0,0.3339063,0.083592,0,0.7269228,1.1129389,0.0030319,0.0030319,0.0030319,0.0030319,1.3113751,0.6192229,0.0049927,0.195817,0.3257077,0.0049927,0.0049927,0.1753852,0.4987336,1.3131659,0.0067835,0.1734644,0.0067835,0.2969876,0.0067835,0.0067835,0.0067835,0.3636758,0.0067835,0.0067835,0.0067835,0.3561869,0.0067835,0.0067835,0.0067835,1.3459903,0.0234502,1.3325983,0.1623913,0.3679459,0.0264805,0.0264805,0.0264805,0.0264805,0.0264805,0.3028435,0.0264805,0.3641056,0.0264805,0.3100111,0.0264805,0.2784931,0.0264805,0.0264805,0.1840885,1.2293837,0.0288431,0.0288431,0.0288431,0.2893247,0.1617191,0.0288431,0.0288431,0.0288431,0.0288431,0.0288431,0.0288431,0.0288431,0.0288431,0.2931362,0.0288431,0.3909482,0.0288431,0.2329181,0.0288431,0.0288431,1.2720727,0.030538,0.3880144,0.0903313,0.4048012,0.3734713,0.030538,0.6098644,0.3266974,0.030538,0.030538,1.3408535,0.2257778,0.5858228,0.3765683,0.3253952,0.0329006,0.2860022,0.0329006,0.2249345,0.0329006,0.4116539,0.0329006,0.0771131,1.3122371,0.0343712,0.0343712,0.2908073,0.3692216,0.0343712,1.2409951,0.5403874,0.2421193,0.0360661,0.0929722,0.0360661
hsa-mir-101,1.7122149,2.0369533,1.4952948,2.0922912,1.2026861,1.5371652,1.6927189,1.490481,0.1046295,1.7728538,1.363897,2.2685405,0.1525685,2.0411626,1.0931495,1.9720391,1.5392622,1.7183604,0.1902135,1.4453744,1.6267171,1.281515,0.2243579,1.6057091,0.2282114,0.2282114,1.4836954,1.9372082,0.2548328,1.275591,0.261129,1.9391741,0.2652956,2.6441364,1.7664538,2.107063,0.4987495,0.2948572,1.4394319,1.6782177,0.3174969,2.1771088,0.3201703,1.9940428,1.6906138,1.3733169,1.4094753,0.3576849,0.3576849,2.0092021,1.7351891,0.372221,2.0652419,2.0806895,1.7382246,0.5461341,1.4715548,1.583794,0.4046878,1.5189933,1.2810534,1.1052444,0.680493,0.425991,1.6452846,0.4331871,1.701463,2.2050051,1.1013602,1.9801635,1.6477653,1.6362979,1.7864571,0.9735528,1.664973,1.913068,1.8369721,0.4804228,0.4804228,1.9238035,0.6407347,0.4838953,2.6868172,3.0628649,0.4898684,0.4898684,0.4898684,0.4898684,3.2390981,2.6191186,0.5428096,1.4837408,1.7652214,0.5470579,0.5470579,1.4014618,2.3014766,3.2999653,0.5526964,1.3674697,0.5551549,1.8497417,0.5681687,0.5681687,0.5681687,1.9741097,0.5701295,0.5701295,0.5701295,2.0937625,0.5721064,0.5721064,0.5721064,3.3470958,0.5887731,3.337482,1.3037403,1.9905105,0.5963043,0.5963043,0.5963043,0.5963043,0.5963043,1.8890112,0.5977749,2.067564,0.5992455,1.8127049,0.6009296,1.7263125,0.6028164,0.6028164,1.4064055,3.2695028,0.6072623,0.6072623,0.6072623,1.8193148,1.2700322,0.6102926,0.6102926,0.6102926,0.6102926,0.6102926,0.6102926,0.6102926,0.6102926,1.8420848,0.6133229,2.1816754,0.6154063,1.6464921,0.6168768,0.6168768,3.2814216,0.6185718,2.1563534,0.9288875,2.1798074,2.116098,0.6257925,2.5038149,2.0054322,0.6296031,0.6296031,3.3768847,1.5506972,2.5735751,2.1179702,1.9926992,0.6421484,1.8733594,0.705406,1.6914529,0.7076755,2.2093534,0.7107058,0.9360109,3.4350499,0.7121764,0.7121764,1.9393616,2.2347899,0.7362332,3.4143076,2.5963349,1.7426993,0.7428452,0.9988331,0.7428452
hsa-mir-186,0.784071,1.0291422,0.6488607,1.0545483,0.5016603,0.7083457,0.7796257,0.6028009,0.0133432,0.799248,0.5527596,1.1104509,0.0300738,0.9742115,0.402221,0.8982893,0.658361,0.7521869,0.0429041,0.5643389,0.6247253,0.4672145,0.0429041,0.6378365,0.0429041,0.0429041,0.5438819,0.8266313,0.0429041,0.4389392,0.0429041,0.7795793,0.0429041,1.3189073,0.6959444,0.9503696,0.162461,0.0662942,0.5455046,0.6570785,0.0662942,0.9351623,0.0662942,0.8482119,0.6424197,0.4846848,0.5661222,0.094839,0.094839,0.8150181,0.7243576,0.0968128,0.8658286,0.8500912,0.6538849,0.1968361,0.5213824,0.5693011,0.0968128,0.5389702,0.451834,0.3440887,0.1895929,0.0968128,0.5890048,0.0968128,0.6382573,0.9558216,0.3776589,0.7963254,0.6023313,0.5970447,0.6733579,0.2989894,0.5949238,0.7083949,0.6599632,0.1030909,0.1030909,0.7198969,0.2056459,0.1030909,1.2482275,1.5748652,0.109064,0.109064,0.109064,0.109064,1.7350982,1.1886343,0.1620052,0.5241922,0.7067833,0.1620052,0.1620052,0.4809085,1.0003552,1.7878695,0.1637961,0.4749612,0.1637961,0.6963738,0.1637961,0.1637961,0.1637961,0.7798983,0.1637961,0.1637961,0.1637961,0.8197071,0.1637961,0.1637961,0.1637961,1.8172162,0.1804627,1.8052174,0.4503943,0.7916806,0.183493,0.183493,0.183493,0.183493,0.183493,0.707617,0.183493,0.8096095,0.183493,0.6916024,0.183493,0.6627448,0.183493,0.183493,0.4821139,1.7268104,0.1858556,0.1858556,0.1858556,0.6824747,0.4416383,0.1858556,0.1858556,0.1858556,0.1858556,0.1858556,0.1858556,0.1858556,0.1858556,0.6871457,0.1858556,0.8532236,0.1858556,0.5886542,0.1858556,0.1858556,1.7533543,0.1875505,0.8577958,0.3008533,0.867397,0.82381,0.1875505,1.1339595,0.7577406,0.1894743,0.1894743,1.8161596,0.5505949,1.1443744,0.8180353,0.7550083,0.1933075,0.6785038,0.1933075,0.5689036,0.1933075,0.8514208,0.1933075,0.2773756,1.7922304,0.1947781,0.1947781,0.6819076,0.8234389,0.1947781,1.7444739,1.0612803,0.5973474,0.196473,0.2974656,0.196473
